,REGRESSION_DT,CLASSIF_DT,REGRESSION_RL,CLASSIF_RL,REGRESSION_RLog,CLASSIF_RLog,REGRESSION_RNA,CLASSIF_RNA,ALVO,TRN_TST
0,0.6666666666666666,1,0.5675525833750029,1,0.5954475173643549,1,0.5696029800470865,1,0,TEST
1,0.0,0,0.18711732287405658,0,0.09181427231935357,0,0.0584346667944549,0,0,TEST
2,0.0,0,-0.11793358540621635,0,0.01442874174344221,0,0.013268692586895708,0,0,TEST
3,0.0,0,0.14272037628279743,0,0.07075399952584373,0,0.06404720295260569,0,0,TEST
4,0.6666666666666666,1,0.2613879504712364,0,0.13796030284466143,0,0.10422640614593325,0,0,TEST
5,0.0,0,0.186960520764129,0,0.10980494985423336,0,0.10153192034004213,0,0,TEST
6,0.1951219512195122,0,0.31030618095526846,0,0.2641675511700321,0,0.33846195320904693,0,0,TEST
7,0.3333333333333333,0,0.4742807008416595,0,0.47485963604015274,0,0.5969614492070183,1,1,TEST
8,0.0,0,-0.020530120127864315,0,0.026599750135005144,0,0.017684877727461495,0,0,TEST
9,0.0,0,0.1905564324953537,0,0.11968295658447364,0,0.06473809045894267,0,0,TEST
10,0.3902439024390244,0,0.2898774781033287,0,0.27518823510359985,0,0.25118536498217114,0,0,TEST
11,0.0,0,0.10252798971038879,0,0.04996169863193481,0,0.028106986108882414,0,0,TEST
12,0.12903225806451613,0,0.17303659016723888,0,0.08853128592897078,0,0.224743821189044,0,0,TEST
13,0.717948717948718,1,0.615149981267206,1,0.6724311030678061,1,0.6499998431716408,1,1,TEST
14,0.0,0,0.2572818884626924,0,0.20159130604105382,0,0.18394937532549693,0,0,TEST
15,0.13333333333333333,0,0.23740121379537626,0,0.013283144262868848,0,0.01395189253342048,0,0,TEST
16,0.125,0,0.37314494199574977,0,0.15984102058317995,0,0.14777982892163907,0,0,TEST
17,0.0,0,0.4309337452075477,0,0.3981577622423981,0,0.3717085617132626,0,0,TEST
18,0.4666666666666667,0,0.540250007909578,1,0.5577974203903547,1,0.6682746945133599,1,0,TEST
19,0.11428571428571428,0,0.12023671200400482,0,0.06484576484994162,0,0.055447106847357416,0,0,TEST
20,0.0,0,-0.25054860273335045,0,0.0007180964747663752,0,0.00033839492434866483,0,0,TEST
21,0.0,0,-0.06714524586044987,0,0.012087499302517403,0,0.013599962309900659,0,0,TEST
22,0.36363636363636365,0,0.5013447051767327,1,0.5180879582639335,1,0.48696874285107816,0,0,TEST
23,0.0,0,0.12882930352527516,0,0.008755206524032519,0,0.01172056566208745,0,0,TEST
